,meter_id,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
0,X449,228.38607311448217,228.87707332133357,233.18101640038782,227.28024401753208,224.70664130392373
0,X383,166.17798035246835,178.00915300944231,198.75903073458363,193.07010357660465,171.0875733122537
0,X473,132.11896683421742,127.03897850177842,129.18575523743397,150.20469389030737,140.91827558396756
0,X205,283.79527341071844,282.20367305379,265.6137810868447,277.985826934882,269.74297641115993
0,X35,4.473807003512907,4.473807003512907,4.326592864460333,4.470812626609011,4.326592864460333
0,X161,387.7637838870903,359.83321085195684,350.995225638989,336.64061954081757,333.4260717336329
0,X403,132.4458199305991,132.4458199305991,128.17337412638622,131.7268821841218,127.47762792011787
0,X341,133.06919200921422,127.17321021722941,125.60920827980773,124.67903533061425,120.97521434650551
0,X149,234.18492834332875,232.77691860148886,233.49793623488267,235.51661998798474,226.68452900793437
0,X82,459.9624131163243,446.0570992828589,434.5807156671165,433.1001538110631,501.6441979269416
0,X377,127.46020851532892,132.04237630986734,131.24590764940922,110.56366852969833,48.91747401567882
0,X232,335.144960610616,333.13639621006286,322.4355098752028,333.6978226960839,322.8577730412954
0,X333,155.01753610492523,154.48866261675641,150.65568153081173,181.46530809465318,179.75363196896282
0,X140,351.4384374521656,330.1794904831418,310.1038543712534,284.5071861614971,277.62322250914866
0,X44,1409.0511648886231,1410.623612863604,1343.4839350534855,1411.3883131840967,1368.6186648096843
0,X37,2697.834472466252,2697.834472466252,2792.2776882321245,2885.3536111731955,2792.2776882321245
0,X42,551.2414037755487,1357.7848840427566,1677.9677175731663,1739.1650352281463,1684.2160210095203
0,X422,252.73937656654718,245.03632396120452,236.9895632029134,251.5543814367286,240.28259890761032
0,X50,3018.1537761572545,3018.1537761572545,3145.991255409577,3250.8576305898964,3145.991255409577
0,X386,246.93716554682675,246.93716554682675,238.97145052918717,253.9869778349159,245.89389691352963
0,X80,3987.880265909124,3839.5765254302396,4043.471624454175,4159.931282867689,5097.910740981847
0,X250,349.70708782832617,349.26010605217016,360.80416121477043,379.2574369435296,367.1789427721564
0,X142,291.36182681812494,297.10969178775235,290.38545919224157,360.8033284793681,374.1378846115184
0,X235,111.03176674623025,111.01856750434335,107.46712813104462,109.96005420836818,106.40468234901618
0,X446,193.42942829051185,193.3229565158971,192.58127310731842,196.26102091659683,195.6503172505275
0,X331,208.37356989815262,176.41794855838327,169.65616956016848,199.58121158549744,202.92200974167216
0,X102,379.1914564881538,360.315293617852,446.98815244618055,743.6864005693448,857.9035934855622
0,X186,190.1930419428946,190.20460445452116,184.0566224638272,192.17474494496207,187.14309519075601
0,X243,255.24600542031473,255.24600542031473,254.05006632233068,261.6501366265693,253.07922395687945
0,X194,132.9755504307541,132.578186638417,131.9460790260496,141.50045786788945,137.26452885418956
0,X183,151.622441632684,151.622441632684,146.73139512840388,151.622441632684,146.73139512840388
0,X139,281.8766142862198,279.8660118169971,274.3069054272653,286.4358127845015,279.15917736063
0,X459,115.71432218934507,115.73183545963464,101.56562145904947,115.79741387443232,113.85793590821346
0,X457,207.38785504609334,201.71041584881544,175.15147868752345,172.76342928375516,172.09448351641498
0,X70,287.1730308383189,307.35476164950916,388.2744031824129,389.4869106350952,639.9053413745061
0,X368,251.94064984169265,251.05273599586218,244.51732154945608,245.05130671605255,234.9593894679975
0,X282,218.38650376756263,218.38650376756263,211.34177783957674,207.6875002735821,201.01984449163638
0,X426,208.48063232209816,208.48063232209816,201.6596902219316,201.35410645077644,191.9765391136594
0,X47,51.119770244988786,50.412416809810125,103.84105367124901,103.78221065258317,101.74325623290532
0,X192,210.42568737332954,272.5857878510143,287.18585255528996,277.99346825309857,299.5004266111592
0,X283,165.9876607257849,165.6939459981214,160.5526866377966,165.5247821239053,159.96300923312032
0,X329,163.1278319525063,157.48648696431772,162.8499622712083,155.5694025925581,151.64794439824377
0,X223,260.82217717099945,246.82948353322394,241.6638027005403,236.50719507816783,227.3946662416317
0,X266,229.59208354026828,221.46328315978684,221.12284115954108,223.80827274077694,230.7944737235636
0,X20,299.4863451905293,668.6138143385781,797.8581321514926,819.1520942610493,791.8099773325447
0,X443,193.32982315362597,193.26575918265206,187.295345281954,193.22158787948115,183.58074552182262
0,X347,184.62320727359588,190.24716522359645,179.3233356479094,178.324131395166,168.03376415789435
0,X75,903.6300739835739,900.6846061639322,901.9239037198232,916.8181276887022,900.1587589180184
0,X107,191.747026234315,144.27414907608159,132.45886462644748,215.0273966253836,206.3282660869378
0,X230,262.4226226891951,261.2829733502354,252.8544903389375,267.1526729718059,258.57552165766293
