,meter_id,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
0,X7,1009.274874054133,1009.274874054133,977.416339776152,1009.411753674908,976.9081172299698
0,X263,208.8429995534121,202.56530099882812,198.64523686937233,201.30881805548307,192.23422115964618
0,X450,186.70755988801335,173.48423717496675,172.30372550507164,187.87090360847662,178.06373679386803
0,X18,1895.2330112874472,1896.4138955980202,1805.5502898034783,1873.464199700649,1812.3684690537195
0,X206,207.88698384209528,206.657218195326,200.88727373743325,252.37181978946458,247.13588949507607
0,X133,210.3166944404712,177.08220748215282,176.0288298033807,192.96739126845975,203.37593232162283
0,X41,1560.9917877232704,1560.9917877232704,1510.6372139257455,1629.2765607483134,1559.8407318474103
0,X195,244.17463497231626,255.09995744432115,244.69750987292073,252.89431013139435,239.8780255442506
0,X155,241.52847388255245,241.0383595774644,235.73290168612533,209.64746138621052,207.98197203540735
0,X134,247.64077298442078,246.70550360905335,221.7694376127294,214.1068011769424,207.63175890279243
0,X297,139.27336915548256,126.89058530043329,124.15643264573951,129.07818956920056,124.7454808467988
0,X175,267.029209308967,264.8673834643095,260.7826977311418,268.01371715866327,259.7240106937869
0,X254,227.79788216356832,227.0468912537305,221.3719504570239,236.17975189821624,228.64093406274364
0,X196,351.3199057732834,349.1822393662015,337.9783632374848,349.1822393662015,337.93334905694815
0,X481,188.93280257795473,188.93235866720036,183.0888822945797,189.06640422848199,182.9989188407564
0,X412,28.459845923478813,28.044652015004804,31.747061893008787,37.58101589487067,38.27665251669925
0,X337,255.08748337549002,244.76106281442085,247.15507342426832,237.25183191773607,218.0702539860887
0,X406,199.89603729390532,200.71094954994754,245.88968650272287,260.2110579091772,255.41911528567294
0,X67,563.9512443549079,566.85018332565,559.8198965835518,696.9448309050362,672.1643279861755
0,X414,159.92481848162805,159.92481848162805,193.63592293579163,210.983620188376,184.13830823388315
0,X55,6984.5243500517045,6984.5243500517045,8105.743359768934,8422.281116969234,8154.869146180117
0,X91,538.7260154959503,240.83668197112604,223.31715803670932,424.03900919980816,448.65703253320027
0,X260,178.3991037400501,178.3991037400501,172.64429394198396,201.31488673780413,201.2885667923656
0,X252,356.0925238896989,356.0925238896989,340.195427508996,351.5377970680929,350.5428508410522
0,X5,4409.067157923927,4407.625141347117,4604.240029141732,4760.339835283459,4606.055720803877
0,X455,197.28802235023878,194.52200641103636,188.24710297842228,188.91106430959377,181.10714444641832
0,X43,477.2940943766969,470.30894264120434,454.65281121318935,472.3900025120371,457.450675122709
0,X320,149.16309666531902,143.91422910079717,139.39715272583425,144.48531131269198,139.65769050542778
0,X276,122.31581311666937,125.65565231445449,116.03199645195032,127.73453832383743,118.74637248806108
0,X423,175.42887585453636,146.72069998574804,141.98777417975617,150.89185130482534,150.71250676275872
0,X218,200.01076296775605,200.01076296775605,190.06470409336447,218.3633311539316,224.4371623723012
0,X399,107.52632246804241,106.87720380014127,114.47866647303087,110.62362693595156,106.65753281075953
0,X213,203.58086373736103,188.7008162215436,185.40559608390535,192.5178089106278,186.25497539216767
0,X379,227.19875186863072,199.5232794391305,175.41536857738632,170.7654378058048,166.72115830217862
0,X468,169.8699952222057,169.40162669902512,166.15570087212282,161.08579545728594,154.1229998197192
0,X253,258.88951696639106,265.5873694949463,260.29969428896266,266.28309207649585,257.07595669154875
0,X247,212.00372477519718,205.0061523598106,210.380993786058,307.0073794446385,335.09915324485246
0,X262,208.20609470399552,208.32458949611993,225.86224241084207,212.53785248537142,194.89236317073804
0,X248,142.28353080723915,142.13701107540393,139.28292302864216,155.5439174868389,149.09150474585752
0,X357,224.91940935628278,224.40551284232225,218.89368410979222,259.1448951066707,254.16343832246184
0,X215,337.43453883158077,301.98359428723404,292.2657250758079,287.4088178774259,265.15296269084143
0,X177,218.7357002765291,216.9755246180379,214.17489368609216,214.1930773336843,207.8742912452305
0,X228,264.03292231730245,259.8121402887565,260.374109540298,293.4376462985527,292.9124029569444
0,X59,1525.9851632574864,1525.0306751041921,1499.986062473804,1550.0386407846731,1519.748041925762
0,X10,2170.5995207306305,2171.6083273140353,2097.1466910364584,2165.6615264670086,2097.1466910364584
0,X187,205.23411655369955,196.22130794439687,189.89828242190578,195.11285796833434,188.83601786151252
0,X245,182.95155409838242,177.05723279599664,171.66906536015767,198.4074417351566,189.9984527852781
0,X87,1117.1032301713012,1174.0231670061812,1298.4017366034755,1430.306558457614,1764.3806910973092
0,X242,209.60887729573997,145.24173904559734,140.48534566162,145.24173904559734,164.95259842197797
0,X376,230.9030225287851,228.13485272502953,223.7830477635107,219.42518548275874,214.31166254828068
0,X166,386.48902969809274,352.7690902425205,341.38944217018116,352.7690902425205,382.2769034923781
0,X472,202.15122319241712,202.15122319241712,192.12861375458925,189.8513825323639,183.66993494561362
0,X275,301.0750931151582,293.0152403345555,283.55152303201925,314.084412380404,283.54021212680925
0,X126,129.50421276407704,124.93384502645893,132.0039547336334,125.60520490410548,153.81170793620083
0,X120,462.4043547547003,449.92372965502966,513.9601352221787,594.1825850325417,697.0673588249288
0,X313,167.99627858773897,167.99627858773897,162.63874278946537,173.89832984637357,168.9995453972571
0,X201,243.58904133362208,226.1063320823815,222.15124952539324,233.82034043455258,230.39347800224905
0,X110,306.04370065670315,331.9204722367474,328.1804821479917,400.31715417225917,435.9585557731641
0,X408,225.73460132276756,219.6248613637992,214.12278655854487,270.73771980662883,264.26933391579473
0,X62,212.05634664934163,211.92444683132868,207.97875857092163,214.911383856619,207.97875857092163
0,X419,116.32872471662805,115.6162980196245,111.82334946602552,122.6929251057344,118.7386456583119
0,X460,115.53198043585893,115.53198043585893,111.39912156048564,114.50238705590941,110.86795791050312
0,X367,122.40360146074572,121.26100872583727,118.15202181496865,121.45053716524022,118.43198816687035
0,X143,163.2063243762975,146.82005340374454,117.38653127487883,107.99602604947378,103.38896493443126
0,X312,154.80632919176563,154.792380665338,156.26269719057944,161.45152505430565,156.26269719057944
0,X410,125.18695071795727,102.37314438386761,139.3638460925997,147.83357722139402,141.5043413169099
0,X389,196.05793008458312,195.77150218386066,189.14211140568426,199.50166429140452,192.8449743267645
0,X300,257.8916293691667,242.33521577822526,235.04364509569734,264.26269282569046,264.43575349562246
0,X61,1756.0350065403325,1734.6721549357055,1531.547450699346,1582.0515565481871,1531.547450699346
0,X470,263.1090920749372,262.23366252682547,254.56941600680662,277.8252365043066,262.8874632465442
0,X445,229.64192751844865,228.93227648612176,238.9603657328923,184.54201207853686,152.60985080390904
0,X158,206.78840033788356,206.47423153361936,206.66997291943838,217.72009085942372,210.47890470037157
0,X421,263.63675884310044,252.1175235252501,241.2925843856198,249.30498896192307,230.45895808657662
0,X105,274.65643349093756,337.3222889578862,389.3332910234467,439.3211223169571,498.2880233846097
0,X32,369.410669496809,369.46034545757425,337.4028363604084,349.60026233852716,338.3732731649692
0,X178,250.4423786158678,239.75868390715786,236.60126295426562,243.62117307888826,239.58820667135552
0,X308,205.57421825781435,205.65869253633153,199.04664306334024,205.400946573043,207.02803153547086
0,X217,241.58698646623375,243.56244559910098,233.04315238176218,254.8989320733869,255.3546298793029
0,X229,257.88949382086963,253.36591515374704,244.03752734506907,252.27814829775545,243.81020823445942
0,X358,157.0497420384149,155.78882689546046,150.81076114565047,171.10594159323855,179.75631015704312
0,X31,368.59250986791255,364.82790567316636,330.05155784797057,341.3509645893699,330.4194502380962
0,X148,218.7163536619409,212.37281703875743,205.31386311282014,211.67874778769635,196.97345783796206
0,X397,261.715145770172,261.715145770172,253.49109973038298,261.715145770172,246.5727229159071
0,X363,168.800284903395,168.800284903395,227.33677776740183,254.94965000575885,247.19118432360045
0,X165,207.6068427811654,208.13071001051753,204.18380859027826,225.00696059865183,235.60958335710467
0,X30,2232.2204894547986,2232.2204894547986,2597.3838719819105,2683.9633343813075,2597.3838719819105
0,X88,180.80985211940165,180.26469448798886,201.42444810795794,253.03005622731217,290.3651896582959
0,X296,142.86627634378542,140.09812184500007,141.88875483334928,164.14907251169447,180.86662173608715
0,X219,97.89804530077723,72.62816035495517,67.34905975018314,68.95468021955155,79.46610572012777
0,X116,238.54791051754552,223.05937742698902,391.2092163276015,495.5375029641957,592.8586082508408
0,X68,2408.156985501384,2414.171477036084,2335.4280113008595,2408.156985501384,2334.512010380445
0,X431,201.8389788233091,202.11826265899302,247.69216502430862,268.6016797730512,259.1382418046253
0,X302,109.91445774396881,109.91445774396881,110.51542406928749,104.53600870460626,101.2936906298638
0,X314,118.81102162417672,109.74385316903242,102.18950261138156,147.98605378638348,153.02469246548262
0,X124,482.2630923290788,525.7375812893638,686.6419392387949,709.3899078832362,898.7573104937272
0,X405,163.1406164488963,163.1571044169217,154.15679987845584,174.5224926304433,174.9105982465858
0,X315,227.6180873408216,227.6180873408216,220.30636333437403,217.41195576680644,202.90248672601604
0,X51,10211.261387641829,12067.729918537607,14339.88485974844,14782.689923974034,14326.989600803183
0,X176,218.83263965270112,218.7387796495157,209.4285007089848,206.92636633294688,200.25132225769053
