,meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h
0,X183,0.2696854764148582,0.26040961398331963,0.20405041692691217,0.21079358250130945,0.197528093149207,0.1960603557715409,0.1989267152551003,0.22186326510893434,0.2158092690255156,0.22959770124210405,0.23417830376396107,0.19717180636305334,0.19339326014272828,0.190481625843213,0.18754624839345055,0.18997986709990755,0.18997986709990755,0.17704452767386042,0.1889452006497319,0.19474620355250377,0.19474620355250377,0.1889740894551512,0.22901372804665263,0.2355070233846366
0,X139,0.4479299581382249,0.4689140936115817,0.30972832064567635,0.35721295058623614,0.3636713116419303,0.3636713116419303,0.32282731286959576,0.36324140760939455,0.43717158832903946,0.4773588852003509,0.4730004635157443,0.48799148656913177,0.48356718059194015,0.45829324359881873,0.46317928879261844,0.5084640449062784,0.5252720781632565,0.5362594135685257,0.5875706338179308,0.5835934206865491,0.6198100854930625,0.623728512559325,0.5816359585564641,0.4630454921739531
0,X459,0.12701998432324021,0.12611057685472168,0.12412441147123264,0.1629546655728432,0.14096857106408817,0.14096857106408817,0.1895317742816937,0.14812695911558613,0.1263736190900841,0.1263736190900841,0.1263736190900841,0.1263736190900841,0.1263736190900841,0.1263736190900841,0.1263736190900841,0.13278082987989032,0.13278082987989032,0.1448348889225604,0.1448348889225604,0.1448348889225604,0.1448348889225604,0.1448348889225604,0.1448348889225604,0.1448348889225604
0,X457,0.20789753016069526,0.23103601902473447,0.1534797363010041,0.2253203057310212,0.21317006604896901,0.22502368618063548,0.22890951274503168,0.2337111678163482,0.2727417593484002,0.3515078462889801,0.37611086355881856,0.3709356812296137,0.37585847919702664,0.34804344321411856,0.3623338399748824,0.40261566963772444,0.49104140112488687,0.5671155299107922,0.5671155299107922,0.5729487267743527,0.5668508359016657,0.5588038152420949,0.4837279901938794,0.45951419322249293
0,X70,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.46025115536451006,0.4603712724278446,0.4412907896150821,0.4412907896150821,0.4603712724278446,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821,0.4412907896150821
0,X368,0.40563733962062654,0.3412930379396114,0.20025862566526528,0.24773999342944705,0.2118518093471824,0.2024330039324768,0.17339382962380415,0.2502780888174986,0.3384671185142681,0.4281806472260387,0.4328362152339746,0.43365524702684916,0.39488344763119254,0.40563764978866,0.4322242937949676,0.4267276104088381,0.41318062216195006,0.45462150728963735,0.5028865821771421,0.5295254764739178,0.5355029913418214,0.5773013856499523,0.5773013856499523,0.5711286292761042
0,X282,0.2847001827967008,0.27778029312919766,0.2756771243675314,0.2756771243675314,0.2756771243675314,0.26574569675868276,0.25713394235445197,0.25713394235445197,0.25713394235445197,0.29026075428826253,0.3102553873064973,0.3102553873064973,0.3102553873064973,0.3102553873064973,0.3102553873064973,0.26868821608257565,0.2728485826356082,0.29898607644950453,0.2990982584519437,0.30503457872248707,0.30503457872248707,0.30503457872248707,0.30503457872248707,0.30503457872248707
0,X426,0.21572194756009347,0.22878094644537042,0.19945027051935332,0.22878094644537042,0.3172488274188317,0.23713318823326435,0.2716493304798854,0.2888787643636937,0.2889281546900595,0.27738648636825614,0.24956442042120539,0.24956442042120539,0.27738648636825614,0.24469653327797422,0.28548992687416164,0.24956442042120539,0.2545220699380406,0.25833225827289696,0.25833225827289696,0.2627724985566784,0.2627724985566784,0.2676403856999095,0.2854694722868873,0.2661855484138246
0,X47,0.06596682413961072,0.0657535474554742,0.0657535474554742,0.0657535474554742,0.0657535474554742,0.0657535474554742,0.06594635117908715,0.06594635117908715,0.06594635117908715,0.05532861714681791,0.09629021786327142,0.09629021786327142,0.09629021786327142,0.05421546633469152,0.05421546633469152,0.05240159080566666,0.05351474161779305,0.23879170770151556,0.23879170770151556,0.19968986392032972,0.19968986392032972,0.19968986392032972,0.19968986392032972,0.05451927412807471
0,X192,0.23040055470674234,0.2451272861273314,0.20641562807111144,0.20256183187797275,0.21393204259979046,0.2379865044874919,0.19886535622157478,0.2159355718013067,0.36482168866363585,0.2928821604076367,0.28000692433736135,0.237992957976645,0.2293737452460046,0.23133135189183962,0.20956954874569206,0.21623115483049743,0.36243279252418514,0.2611319712955338,0.24194250833517336,0.24410888028634906,0.3975678401973039,0.34162660327545136,0.33289064967503046,0.29482452858633906
