,meter_id,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d
0,X26,34.05982791700665,33.64355965419006,34.2101252423247,34.05982791700665,34.2101252423247,34.20382407922749,34.20382407922749,34.20382407922749,33.64355965419006,34.05982791700665
0,X303,13.235880051644601,11.50153050655984,11.50153050655984,11.836551840613131,12.180126277995607,11.720966796367412,12.825075134480524,13.28423461610872,11.383111624800517,11.65655533786963
0,X241,7.247789849558549,7.07545183102512,7.115687104323086,7.1529141825138804,7.085037593156758,6.894569604980694,6.860863862229809,7.073171734008582,6.803696225964746,6.7198534805278864
0,X435,7.129804465193048,7.248093826553352,7.129804465193048,7.129804465193048,7.248093826553352,7.129804465193048,7.248093826553352,7.129804465193048,7.248093826553352,7.129804465193048
0,X402,8.387764838377583,8.203341891478146,8.388251034700527,8.203341891478146,8.203341891478146,8.388251034700527,8.203341891478146,8.203341891478146,8.392144133765068,8.203341891478146
0,X352,6.038259826790256,6.245026687134726,5.965095898122183,5.965095898122183,6.038259826790256,6.038259826790256,6.165869090389579,5.364425275979557,5.702061046123108,5.702061046123108
0,X305,134.1933797964793,-23.939575773564645,-16.96643089629227,-57.173610010469275,-55.13065277416243,-9.767452926000999,-10.037569986580554,-9.944160556481538,-21.343492367666787,-65.67075657731542
0,X350,-1436.3377403823522,-1441.7180095550036,166.10671797429976,-1441.7180095550036,-1441.4523910377109,-1436.5681650204876,-1436.5681650204876,-1201.3102074783476,-1206.1631219550575,-1206.4810499809553
0,X326,2.5897415048852035,2.5897415048852035,2.5897415048852035,2.5897415048852035,2.5897415048852035,2.5897415048852035,2.5897415048852035,2.5897415048852035,2.5897415048852035,2.5897415048852035
0,X299,5.935988393348745,5.918514312532887,5.918514312532887,5.918514312532887,5.918514312532887,5.834552901724491,5.935988393348745,5.935988393348745,5.88325654274475,5.866367526861644
0,X160,5.605782553012172,5.592240341020246,5.592240341020246,5.661500644532268,5.624815079228711,5.624815079228711,5.555554775716689,5.605782553012172,5.592240341020246,5.651893047881078
0,X125,6.135825065454384,13.242785306388074,14.703728115380477,14.157326897522365,15.456286275791681,16.04029656321427,8.247890813097086,15.078996317168182,15.457756537656804,12.427658813408396
0,X211,2.065067459423907,1.8162154184702661,2.380773331083062,1.5265999576679414,2.380773331083062,1.8162154184702661,2.629625372036703,2.065067459423907,1.8517796888050704,2.380773331083062
0,X349,5.271103977685721,4.804661639766189,4.724894098467502,4.130290955300489,4.724894098467502,4.130290955300489,5.271103977685721,4.130290955300489,4.804661639766189,4.804661639766189
0,X407,9.270218379657866,9.419319628419075,9.419319628419075,9.483149865523956,9.320385289787545,9.384215526892426,9.300323399092555,9.336646235867228,9.328793673218927,9.483149865523956
0,X330,10.959937329003996,9.106857252086193,9.214016765850456,9.214016765850456,9.097632636975389,9.032833485546659,10.220763515315339,11.071841633755525,8.554873107585259,9.054350329632896
0,X132,9.365991135290182,9.365991135290182,9.365991135290182,9.365991135290182,9.365991135290182,9.365991135290182,9.365991135290182,9.365991135290182,9.646177847054604,9.365991135290182
0,X231,5.172162086804821,4.774747189983957,4.785123263400037,4.726732543576291,4.770448642945427,5.0980649412387855,5.347191995369637,5.079475740403418,4.7359738453895055,4.759132206972184
0,X225,8.772267081968554,8.126688430152466,8.126688430152466,8.126688430152466,8.126688430152466,8.126688430152466,8.772267081968554,8.772267081968554,8.126688430152466,8.050746431696558
0,X16,90.33140352667385,90.0546334092983,90.0546334092983,90.0546334092983,90.0546334092983,90.33140352667385,90.33140352667385,90.33140352667385,90.0546334092983,90.0546334092983
0,X286,8.274153568285998,8.762971678520287,8.79771096835499,8.762971678520287,8.703468000684092,8.806018954261122,8.840758244095824,8.94407315453142,8.174222611014347,8.962324439185457
0,X354,5.280631415010753,4.7538727070858515,4.850497134171104,4.610130091450805,4.7538727070858515,4.850497134171104,5.484673932065387,5.196503247249636,4.402060332120116,4.642427374840415
0,X353,5.4373903562187476,5.525078192765329,5.525078192765329,5.525078192765329,5.525078192765329,5.525078192765329,5.525078192765329,5.4373903562187476,5.4373903562187476,5.4373903562187476
0,X76,17.976299262255825,7.62362782439826,7.62362782439826,10.78114804964635,7.331742134362391,7.645969018332558,17.976299262255825,12.310358389286469,7.62362782439826,10.78114804964635
0,X255,9.32507968646825,8.445857665942519,8.445857665942519,8.371739932531474,8.371739932531474,8.582644488610008,9.336899359083343,9.336899359083343,8.371739932531474,8.445857665942519
0,X106,14.20180127422462,14.974364087357028,14.974364087357028,15.108038529385473,15.108038529385473,14.974364087357028,14.20180127422462,14.335475716253065,15.108038529385473,14.974364087357028
0,X393,7.769230524756261,7.769230524756261,7.769230524756261,7.769230524756261,7.769230524756261,7.769230524756261,7.769230524756261,7.769230524756261,7.769230524756261,7.769230524756261
0,X157,6.697400428230427,6.5391828144526665,6.5391828144526665,6.5391828144526665,6.4613406148421895,6.3739241580646615,6.697400428230427,6.4544180089841054,6.346063470401351,6.5391828144526665
0,X323,5.693626750328976,5.693626750328976,5.693626750328976,5.693626750328976,5.693626750328976,5.693626750328976,5.693626750328976,5.693626750328976,5.693626750328976,5.693626750328976
0,X130,7.762471629463744,7.672292686227756,7.672292686227756,7.672292686227756,7.672292686227756,7.708827625181925,7.718359428715745,7.762471629463744,7.672292686227756,7.8402616784139605
